Mg,Ni,Al,Fe,Ca,Cr,P,S,Ti,Si,mineral
0,0,0,206,0,9,0,0,4,1,Fe3O4std15
0,0,0,222,0,6,0,0,4,3,Fe3O4std15
1,2,2,221,0,10,0,0,4,0,Fe3O4std15
0,0,0,191,0,4,0,0,5,1,Fe3O4std15
0,0,0,220,0,7,0,0,4,1,Fe3O4std15
0,0,0,223,0,11,0,0,3,0,Fe3O4std15
0,2,0,218,0,5,0,0,4,0,Fe3O4std15
0,3,0,226,0,3,2,0,4,0,Fe3O4std15
0,2,0,197,0,7,2,0,2,0,Fe3O4std15
0,2,2,234,0,5,2,0,2,2,Fe3O4std15
0,0,0,233,0,10,2,0,2,0,Fe3O4std15
0,0,0,228,0,5,2,0,0,0,Fe3O4std15
0,0,0,205,0,2,0,0,5,0,Fe3O4std15
0,2,0,228,0,10,0,0,4,0,Fe3O4std15
0,2,0,206,0,6,2,0,5,0,Fe3O4std15
1,3,0,240,0,2,0,0,2,0,Fe3O4std15
0,0,0,227,2,5,3,0,5,0,Fe3O4std15
0,0,0,205,3,4,2,0,0,1,Fe3O4std15
0,0,0,213,0,3,0,0,3,0,Fe3O4std15
0,0,0,229,0,11,0,0,3,0,Fe3O4std15
0,3,0,213,0,5,0,0,4,1,Fe3O4std15
0,0,0,236,0,9,0,0,0,0,Fe3O4std15
1,0,2,209,0,7,2,0,0,0,Fe3O4std15
1,2,2,211,0,4,0,0,4,0,Fe3O4std15
0,0,0,234,0,3,0,0,0,0,Fe3O4std15
0,2,0,209,0,4,0,0,0,0,Fe3O4std15
0,2,0,220,0,7,3,0,2,0,Fe3O4std15
0,0,0,239,0,7,2,0,5,0,Fe3O4std15
0,4,0,219,0,7,2,0,0,1,Fe3O4std15
1,0,0,234,0,7,3,0,6,0,Fe3O4std15
0,0,0,229,0,10,2,0,3,2,Fe3O4std15
0,2,0,217,2,4,0,0,3,1,Fe3O4std15
0,2,0,220,0,6,2,0,3,0,Fe3O4std15
0,2,0,228,0,6,3,0,0,0,Fe3O4std15
0,0,0,237,4,7,0,0,3,2,Fe3O4std15
0,0,0,218,0,4,0,0,5,0,Fe3O4std15
0,2,0,213,0,4,2,0,6,0,Fe3O4std15
0,0,2,205,0,3,3,0,3,1,Fe3O4std15
0,0,3,225,0,8,2,0,6,0,Fe3O4std15
0,2,0,215,0,4,0,0,0,0,Fe3O4std15
0,2,0,205,0,8,0,0,0,0,Fe3O4std15
0,0,0,230,0,4,0,0,6,1,Fe3O4std15
0,0,0,230,0,2,2,0,3,0,Fe3O4std15
0,0,0,198,0,2,0,0,3,1,Fe3O4std15
0,0,3,202,0,6,0,0,3,0,Fe3O4std15
0,2,2,214,0,3,0,0,6,2,Fe3O4std15
0,0,0,243,0,7,3,0,5,0,Fe3O4std15
0,2,2,216,0,7,0,0,5,0,Fe3O4std15
0,2,0,225,0,11,3,0,3,0,Fe3O4std15
0,0,0,218,0,6,0,0,8,1,Fe3O4std15
0,0,0,198,0,3,0,0,3,0,Fe3O4std15
0,0,2,231,0,7,2,0,5,0,Fe3O4std15
0,0,0,209,2,4,0,0,3,0,Fe3O4std15
0,2,0,211,0,7,3,0,3,0,Fe3O4std15
0,0,0,231,0,12,0,0,3,0,Fe3O4std15
0,0,0,232,0,6,0,0,3,0,Fe3O4std15
0,0,0,226,2,4,3,0,7,1,Fe3O4std15
0,0,2,232,0,9,0,0,3,0,Fe3O4std15
0,0,0,210,0,7,3,0,5,1,Fe3O4std15
0,2,0,219,2,3,0,0,3,0,Fe3O4std15
0,0,3,218,0,4,0,0,2,0,Fe3O4std15
0,2,0,214,2,6,0,0,2,0,Fe3O4std15
0,0,0,201,0,7,0,0,3,1,Fe3O4std15
0,2,0,209,0,3,3,0,0,0,Fe3O4std15
0,0,0,225,0,8,2,0,2,0,Fe3O4std15
0,3,0,221,0,8,0,0,4,0,Fe3O4std15
0,0,0,227,0,8,2,0,2,0,Fe3O4std15
0,0,0,235,0,5,0,0,3,0,Fe3O4std15
0,0,0,230,0,7,0,0,0,0,Fe3O4std15
0,2,0,210,0,7,0,0,3,0,Fe3O4std15
0,0,0,222,0,4,0,0,6,0,Fe3O4std15
0,2,0,223,0,4,0,0,4,0,Fe3O4std15
0,0,0,197,0,4,0,0,4,0,Fe3O4std15
0,0,0,216,0,5,3,0,5,1,Fe3O4std15
0,0,0,217,0,4,0,0,2,1,Fe3O4std15
0,2,0,196,0,4,0,0,0,0,Fe3O4std15
1,3,0,219,0,2,0,0,0,1,Fe3O4std15
0,0,0,229,0,3,0,0,3,0,Fe3O4std15
0,0,0,216,0,8,0,0,8,0,Fe3O4std15
0,0,0,198,0,5,0,0,3,0,Fe3O4std15
0,0,0,200,0,3,0,0,2,0,Fe3O4std15
0,0,0,209,0,8,0,0,4,0,Fe3O4std15
0,0,0,227,0,4,0,0,2,0,Fe3O4std15
0,0,0,192,2,6,3,0,4,0,Fe3O4std15
1,0,3,217,0,5,0,0,4,0,Fe3O4std15
0,0,0,244,0,8,0,0,4,0,Fe3O4std15
0,0,0,226,3,3,0,0,3,1,Fe3O4std15
0,0,0,236,0,9,0,0,0,1,Fe3O4std15
0,0,0,205,0,6,2,0,2,0,Fe3O4std15
0,0,0,226,0,8,0,0,3,0,Fe3O4std15
0,0,0,222,0,7,2,0,2,1,Fe3O4std15
0,0,0,221,0,4,8,0,3,0,Fe3O4std15
0,0,2,224,2,6,0,0,4,0,Fe3O4std15
0,0,0,230,0,6,4,0,2,0,Fe3O4std15
0,0,3,193,0,6,2,0,2,2,Fe3O4std15
0,0,0,228,2,4,2,0,3,0,Fe3O4std15
0,0,0,203,0,4,0,0,3,0,Fe3O4std15
0,0,0,203,0,2,2,0,0,1,Fe3O4std15
0,0,0,222,0,4,3,0,0,0,Fe3O4std15
0,0,0,226,0,6,2,0,2,0,Fe3O4std15
0,2,0,232,0,8,3,0,3,1,Fe3O4std15
0,0,0,235,0,6,0,0,4,0,Fe3O4std15
0,2,0,229,0,9,2,0,2,0,Fe3O4std15
0,0,0,244,2,6,7,0,2,0,Fe3O4std15
0,2,0,244,0,2,3,0,0,2,Fe3O4std15
0,0,0,195,0,2,2,0,0,1,Fe3O4std15
0,0,0,203,0,4,0,0,3,0,Fe3O4std15
0,0,2,232,0,4,3,0,3,0,Fe3O4std15
0,2,0,217,0,7,2,0,6,0,Fe3O4std15
1,2,2,227,0,2,3,0,3,0,Fe3O4std15
0,0,0,233,0,5,2,0,0,0,Fe3O4std15
0,0,2,227,0,10,2,0,4,0,Fe3O4std15
0,0,0,259,0,8,2,0,6,0,Fe3O4std15
0,0,0,223,0,0,0,0,2,0,Fe3O4std15
0,0,0,244,0,6,0,0,2,0,Fe3O4std15
0,3,0,215,0,3,0,0,6,1,Fe3O4std15
0,2,0,230,0,5,2,0,0,0,Fe3O4std15
0,0,0,199,0,4,0,0,5,1,Fe3O4std15
0,0,3,234,0,2,3,0,8,1,Fe3O4std15
0,0,0,218,0,0,0,0,3,0,Fe3O4std15
0,2,0,237,2,3,3,0,0,3,Fe3O4std15
0,2,0,241,0,5,0,0,0,0,Fe3O4std15
0,0,0,227,0,7,0,0,2,0,Fe3O4std15
0,0,0,231,0,9,0,0,2,0,Fe3O4std15
0,2,0,232,2,6,2,0,0,0,Fe3O4std15
1,3,0,219,0,8,2,0,3,2,Fe3O4std15
0,0,0,210,0,3,2,0,4,0,Fe3O4std15
0,0,0,240,0,10,3,0,2,1,Fe3O4std15
0,0,0,224,0,5,0,0,2,0,Fe3O4std15
0,0,0,217,0,6,0,0,4,0,Fe3O4std15
0,2,3,216,2,4,0,0,2,0,Fe3O4std15
0,2,0,229,0,0,0,0,5,0,Fe3O4std15
0,2,0,209,0,3,0,0,4,0,Fe3O4std15
0,0,0,233,2,6,0,0,4,0,Fe3O4std15
0,0,0,212,0,6,0,0,4,0,Fe3O4std15
0,0,0,240,0,6,0,0,3,1,Fe3O4std15
0,3,0,234,0,6,0,0,3,0,Fe3O4std15
0,0,0,216,0,8,0,0,2,3,Fe3O4std15
0,3,0,209,0,8,4,0,7,0,Fe3O4std15
1,0,0,208,0,10,0,0,0,0,Fe3O4std15
0,0,0,246,2,5,3,0,4,0,Fe3O4std15
0,0,0,212,0,8,3,0,6,1,Fe3O4std15
0,0,0,220,0,2,0,0,5,0,Fe3O4std15
0,0,0,203,0,3,0,0,4,1,Fe3O4std15
0,0,0,235,2,6,0,0,5,0,Fe3O4std15
0,2,5,226,0,2,0,0,2,0,Fe3O4std15
0,0,0,209,0,10,2,0,3,0,Fe3O4std15
0,0,0,210,0,4,0,0,3,0,Fe3O4std15
0,0,0,221,0,6,0,0,4,0,Fe3O4std15
0,2,0,232,0,11,0,0,0,0,Fe3O4std15
0,0,0,213,0,7,3,0,5,3,Fe3O4std15
0,0,0,233,0,8,2,0,7,1,Fe3O4std15
0,0,2,219,0,2,2,0,2,0,Fe3O4std15
0,0,0,204,0,8,0,0,4,0,Fe3O4std15
0,0,0,215,3,10,2,0,4,3,Fe3O4std15
0,0,0,230,0,3,0,0,5,0,Fe3O4std15
0,0,0,226,0,2,0,0,2,0,Fe3O4std15
0,0,0,212,0,8,3,0,3,0,Fe3O4std15
0,0,0,225,0,7,2,0,5,1,Fe3O4std15
0,0,0,224,0,5,5,0,0,0,Fe3O4std15
0,0,0,225,0,2,0,0,4,2,Fe3O4std15
0,0,0,211,0,6,0,0,4,1,Fe3O4std15
0,0,2,221,0,2,2,0,8,2,Fe3O4std15
0,0,0,221,0,5,6,0,7,2,Fe3O4std15
0,0,0,206,0,8,0,0,4,0,Fe3O4std15
0,0,0,233,4,2,0,0,6,0,Fe3O4std15
0,4,2,215,2,6,0,0,3,2,Fe3O4std15
0,0,0,195,0,4,0,0,2,0,Fe3O4std15
0,0,0,220,0,8,2,0,0,1,Fe3O4std15
0,0,0,210,0,2,2,0,2,0,Fe3O4std15
0,2,0,213,0,5,0,0,5,0,Fe3O4std15
0,0,0,217,0,9,0,0,4,1,Fe3O4std15
0,3,0,204,2,6,4,0,2,0,Fe3O4std15
0,2,0,231,0,6,2,0,2,1,Fe3O4std15
0,0,0,228,0,7,2,0,3,0,Fe3O4std15
0,3,0,226,0,4,0,0,5,0,Fe3O4std15
0,3,2,206,0,5,0,0,2,2,Fe3O4std15
0,0,0,211,0,4,2,0,4,0,Fe3O4std15
0,0,0,213,2,5,0,0,0,0,Fe3O4std15
0,0,0,204,0,4,3,0,3,1,Fe3O4std15
0,4,0,204,3,9,2,0,2,0,Fe3O4std15
1,0,0,195,0,7,0,0,4,0,Fe3O4std15
1,0,0,214,0,5,3,0,5,0,Fe3O4std15
0,0,0,229,0,7,3,0,6,0,Fe3O4std15
0,0,0,208,0,8,0,0,3,0,Fe3O4std15
0,2,0,222,0,4,0,0,5,0,Fe3O4std15
0,0,2,229,0,5,0,0,3,0,Fe3O4std15
0,2,0,202,0,8,0,0,4,3,Fe3O4std15
0,3,0,219,0,5,4,0,0,0,Fe3O4std15
0,0,0,214,0,2,2,0,0,1,Fe3O4std15
0,0,0,220,0,5,2,0,5,0,Fe3O4std15
0,0,0,216,0,4,0,0,4,1,Fe3O4std15
0,2,0,207,0,7,3,0,3,0,Fe3O4std15
0,0,0,203,0,5,3,0,5,0,Fe3O4std15
0,0,0,198,0,5,0,0,3,0,Fe3O4std15
0,0,0,212,0,6,3,0,0,3,Fe3O4std15
0,0,0,202,0,7,0,0,2,0,Fe3O4std15
0,5,0,223,0,3,2,0,2,0,Fe3O4std15
0,0,0,229,0,2,0,0,6,1,Fe3O4std15
0,5,0,217,0,4,3,0,2,0,Fe3O4std15
0,0,0,215,0,13,2,0,4,1,Fe3O4std15
0,3,0,217,2,5,0,0,3,0,Fe3O4std15
0,0,0,215,0,2,3,0,3,1,Fe3O4std15
0,0,0,236,0,8,0,0,2,1,Fe3O4std15
0,4,0,208,2,2,0,0,2,0,Fe3O4std15
0,0,0,208,0,9,0,0,2,0,Fe3O4std15
0,3,2,213,0,4,0,0,5,0,Fe3O4std15
0,2,2,217,0,6,2,0,5,0,Fe3O4std15
0,0,0,218,0,3,3,0,2,2,Fe3O4std15
0,0,0,203,0,6,0,0,3,2,Fe3O4std15
0,2,0,234,0,10,2,0,3,1,Fe3O4std15
0,2,0,248,0,7,0,0,2,0,Fe3O4std15
0,0,0,223,2,7,0,0,3,4,Fe3O4std15
0,0,0,228,0,3,0,0,2,0,Fe3O4std15
1,0,2,226,3,7,0,0,6,0,Fe3O4std15
0,0,0,217,0,4,2,0,3,1,Fe3O4std15
0,0,0,206,0,4,0,0,4,2,Fe3O4std15
0,0,2,236,0,2,2,0,5,0,Fe3O4std15
0,3,0,211,0,3,0,0,5,1,Fe3O4std15
0,2,0,218,0,5,3,0,3,0,Fe3O4std15
0,3,0,209,0,6,2,0,4,0,Fe3O4std15
0,0,2,190,0,7,0,0,2,0,Fe3O4std15
0,5,0,226,0,2,2,0,2,0,Fe3O4std15
0,3,0,242,0,6,0,0,0,0,Fe3O4std15
1,0,0,203,0,5,0,0,3,0,Fe3O4std15
0,0,0,220,0,10,0,2,5,0,Fe3O4std15
0,2,2,226,0,4,2,0,0,0,Fe3O4std15
0,2,0,222,2,7,0,0,2,0,Fe3O4std15
0,0,2,222,0,7,0,0,4,0,Fe3O4std15
0,2,0,244,0,7,5,0,5,0,Fe3O4std15
0,3,0,208,0,7,4,0,3,0,Fe3O4std15
0,2,2,237,2,3,0,0,2,1,Fe3O4std15
0,0,2,224,0,4,2,0,3,0,Fe3O4std15
0,2,0,219,0,6,0,0,0,1,Fe3O4std15
0,0,0,190,0,2,3,0,3,0,Fe3O4std15
0,2,0,219,0,8,3,0,4,4,Fe3O4std15
0,0,0,257,0,6,0,0,0,1,Fe3O4std15
0,0,0,215,0,2,0,0,3,0,Fe3O4std15
0,0,0,235,0,6,0,0,3,0,Fe3O4std15
0,2,0,216,0,3,0,0,6,0,Fe3O4std15
0,0,0,222,0,9,0,0,5,1,Fe3O4std15
1,0,0,209,0,3,0,0,8,0,Fe3O4std15
0,0,0,209,0,5,0,0,4,2,Fe3O4std15
0,0,0,221,3,5,3,0,3,2,Fe3O4std15
0,0,0,239,0,5,3,0,3,2,Fe3O4std15
0,0,0,236,0,5,3,0,2,0,Fe3O4std15
0,0,0,219,0,6,0,0,2,0,Fe3O4std15
0,0,2,213,3,3,2,0,5,0,Fe3O4std15
1,0,0,245,0,2,2,0,5,1,Fe3O4std15
0,0,0,193,0,0,5,0,3,0,Fe3O4std15
0,0,0,218,0,5,2,0,7,0,Fe3O4std15
0,0,0,205,0,5,0,0,3,0,Fe3O4std15
0,0,0,218,0,7,0,0,2,0,Fe3O4std15
0,0,0,219,0,11,0,0,4,1,Fe3O4std15
0,0,0,223,0,7,0,0,3,2,Fe3O4std15
0,0,0,228,0,8,0,0,5,0,Fe3O4std15
0,0,0,211,0,9,3,0,5,1,Fe3O4std15
0,0,0,237,2,7,0,0,3,0,Fe3O4std15
0,0,0,219,0,4,0,0,5,1,Fe3O4std15
0,0,0,204,0,3,2,0,2,2,Fe3O4std15
0,0,0,226,0,4,0,0,4,0,Fe3O4std15
0,3,0,242,0,4,0,0,0,0,Fe3O4std15
0,0,0,223,0,0,0,0,3,0,Fe3O4std15
0,2,0,242,0,8,0,0,5,0,Fe3O4std15
0,0,0,229,0,6,3,0,4,0,Fe3O4std15
0,0,0,230,0,3,3,0,6,0,Fe3O4std15
0,3,0,234,0,3,4,0,2,0,Fe3O4std15
1,2,0,212,0,2,0,0,4,1,Fe3O4std15
0,2,0,231,0,5,3,0,4,0,Fe3O4std15
0,0,0,220,0,2,0,0,2,0,Fe3O4std15
1,0,0,209,0,5,4,0,0,0,Fe3O4std15
0,3,0,227,0,4,0,0,2,0,Fe3O4std15
0,0,0,228,0,6,0,0,7,0,Fe3O4std15
0,0,0,243,0,6,2,0,4,3,Fe3O4std15
0,2,2,219,0,8,0,0,0,0,Fe3O4std15
0,2,0,223,0,5,4,0,3,1,Fe3O4std15
0,0,0,204,0,6,0,0,5,0,Fe3O4std15
0,3,0,220,0,5,2,0,0,4,Fe3O4std15
0,3,0,238,0,8,4,0,4,0,Fe3O4std15
1,0,0,254,0,5,0,0,5,0,Fe3O4std15
0,0,2,213,0,3,0,0,2,0,Fe3O4std15
0,0,0,202,0,6,0,0,5,0,Fe3O4std15
0,0,0,218,0,5,0,0,4,0,Fe3O4std15
0,0,0,230,2,6,2,0,0,1,Fe3O4std15
0,0,2,218,0,4,2,0,2,3,Fe3O4std15
0,0,5,200,0,3,0,0,3,2,Fe3O4std15
0,0,0,239,0,9,0,0,6,0,Fe3O4std15
0,3,0,188,0,7,0,0,4,3,Fe3O4std15
0,0,0,213,2,6,2,0,5,0,Fe3O4std15
0,0,0,196,2,9,0,0,6,0,Fe3O4std15
0,0,0,225,0,9,0,0,5,0,Fe3O4std15
0,0,0,219,0,8,0,0,4,2,Fe3O4std15
0,0,0,204,0,9,0,0,5,0,Fe3O4std15
0,2,2,204,2,7,0,0,2,2,Fe3O4std15
0,0,0,197,0,7,0,0,0,0,Fe3O4std15
0,2,0,220,0,7,0,0,0,1,Fe3O4std15
1,0,0,224,0,6,0,0,4,0,Fe3O4std15
0,0,0,230,0,7,3,0,3,2,Fe3O4std15
0,2,0,210,0,0,2,0,6,0,Fe3O4std15
0,0,3,231,0,7,0,0,3,0,Fe3O4std15
0,0,0,193,0,4,2,0,0,0,Fe3O4std15
0,2,0,218,0,7,3,0,2,0,Fe3O4std15
1,2,0,239,2,4,2,0,2,0,Fe3O4std15
0,0,0,198,5,2,0,0,3,0,Fe3O4std15
0,0,0,220,0,4,0,0,6,0,Fe3O4std15
0,2,0,230,0,2,0,0,4,2,Fe3O4std15
0,0,2,209,0,4,0,0,2,1,Fe3O4std15
0,0,0,206,0,0,0,0,6,0,Fe3O4std15
0,0,0,212,2,6,0,0,3,2,Fe3O4std15
1,0,0,219,0,7,0,0,6,1,Fe3O4std15
0,0,0,208,0,2,2,0,2,0,Fe3O4std15
0,0,0,223,0,3,0,0,8,2,Fe3O4std15
0,2,0,246,0,9,2,0,3,0,Fe3O4std15
0,0,0,219,0,7,5,0,0,0,Fe3O4std15
0,0,0,220,0,3,2,0,5,0,Fe3O4std15
1,0,0,240,0,6,0,0,3,0,Fe3O4std15
0,0,0,214,0,0,3,0,5,0,Fe3O4std15
3,0,0,213,0,4,0,0,0,1,Fe3O4std15
0,0,0,247,0,6,0,0,2,3,Fe3O4std15
0,0,2,221,0,4,3,0,4,0,Fe3O4std15
2,0,0,248,2,8,2,0,2,0,Fe3O4std15
0,4,2,219,0,3,0,0,0,0,Fe3O4std15
0,0,0,202,0,0,0,0,6,0,Fe3O4std15
0,3,0,233,0,2,0,0,3,3,Fe3O4std15
0,3,2,205,0,6,3,0,4,0,Fe3O4std15
0,0,0,215,0,3,0,0,3,0,Fe3O4std15
0,0,0,224,2,6,0,0,2,0,Fe3O4std15
0,0,0,239,0,4,5,0,3,0,Fe3O4std15
0,0,0,222,0,5,2,0,3,0,Fe3O4std15
0,0,2,195,2,7,0,0,2,3,Fe3O4std15
0,0,0,224,0,6,4,0,6,0,Fe3O4std15
0,0,0,219,0,4,5,0,3,0,Fe3O4std15
0,0,0,211,0,5,0,0,7,0,Fe3O4std15
0,0,0,231,0,5,2,0,6,2,Fe3O4std15
0,0,0,260,0,4,3,0,3,2,Fe3O4std15
0,2,2,186,0,8,0,0,3,1,Fe3O4std15
0,0,0,232,0,4,3,0,2,1,Fe3O4std15
0,4,0,221,0,3,0,0,0,0,Fe3O4std15
0,0,0,223,0,6,0,0,3,0,Fe3O4std15
0,0,0,208,0,9,0,0,3,0,Fe3O4std15
0,2,2,205,0,4,2,0,3,0,Fe3O4std15
0,2,0,225,0,7,2,0,7,0,Fe3O4std15
0,0,0,216,0,3,2,0,4,0,Fe3O4std15
0,2,0,233,0,6,2,0,6,4,Fe3O4std15
0,4,0,216,0,6,2,0,0,0,Fe3O4std15
0,0,0,202,0,2,0,0,3,0,Fe3O4std15
0,0,0,205,0,6,0,0,3,1,Fe3O4std15
0,0,0,205,0,6,3,0,4,0,Fe3O4std15
0,0,0,209,0,13,0,0,3,0,Fe3O4std15
0,0,0,220,0,2,2,0,2,0,Fe3O4std15
1,4,0,222,2,2,3,0,5,0,Fe3O4std15
0,0,0,224,0,6,0,0,2,0,Fe3O4std15
0,0,0,210,0,7,4,0,4,0,Fe3O4std15
0,0,0,214,0,6,3,0,0,1,Fe3O4std15
0,0,0,222,0,8,2,0,5,1,Fe3O4std15
0,2,0,225,0,10,0,0,6,0,Fe3O4std15
0,0,0,215,0,4,2,0,4,1,Fe3O4std15
0,0,0,202,0,5,0,0,3,0,Fe3O4std15
0,0,0,207,0,6,3,0,2,1,Fe3O4std15
0,0,0,222,0,3,0,0,4,0,Fe3O4std15
1,0,2,244,0,5,3,0,2,0,Fe3O4std15
0,0,0,216,0,6,4,0,3,0,Fe3O4std15
0,0,2,213,0,5,0,0,2,1,Fe3O4std15
0,2,0,220,0,5,0,0,3,1,Fe3O4std15
0,2,0,224,0,3,0,0,4,2,Fe3O4std15
0,0,0,221,0,6,2,0,2,1,Fe3O4std15
0,0,0,230,0,9,0,0,5,1,Fe3O4std15
0,2,0,241,0,2,0,0,6,0,Fe3O4std15
0,0,0,201,0,2,0,0,2,1,Fe3O4std15
0,0,3,214,0,8,3,0,4,1,Fe3O4std15
0,0,0,231,0,2,2,0,0,1,Fe3O4std15
0,3,0,220,3,5,0,0,5,0,Fe3O4std15
0,4,0,255,0,7,2,0,2,0,Fe3O4std15
0,4,2,202,0,9,0,0,3,2,Fe3O4std15
0,0,0,232,0,7,2,0,4,2,Fe3O4std15
0,0,2,213,0,6,0,0,4,0,Fe3O4std15
1,2,0,223,0,4,2,0,2,0,Fe3O4std15
0,4,0,235,0,5,2,0,4,0,Fe3O4std15
0,2,0,207,0,4,3,0,0,0,Fe3O4std15
0,0,0,219,0,6,0,0,2,0,Fe3O4std15
0,0,0,208,2,12,2,0,5,0,Fe3O4std15
0,0,0,190,0,3,0,0,2,1,Fe3O4std15
0,2,0,218,0,2,0,0,6,0,Fe3O4std15
0,3,0,188,0,4,3,0,3,0,Fe3O4std15
0,2,0,222,3,4,0,0,3,0,Fe3O4std15
0,0,0,208,0,6,0,0,4,0,Fe3O4std15
0,0,0,230,0,6,0,0,0,0,Fe3O4std15
0,0,0,239,0,5,2,0,3,1,Fe3O4std15
0,2,0,222,0,8,0,0,6,0,Fe3O4std15
0,2,4,229,2,8,3,0,3,1,Fe3O4std15
0,2,0,245,2,5,0,0,0,1,Fe3O4std15
0,0,0,208,0,7,3,0,2,0,Fe3O4std15
0,2,0,214,0,5,2,0,4,0,Fe3O4std15
0,0,4,210,0,5,2,0,7,0,Fe3O4std15
0,0,2,228,0,4,3,0,6,0,Fe3O4std15
0,2,0,224,0,3,0,0,3,0,Fe3O4std15
0,2,0,203,0,4,2,0,2,3,Fe3O4std15
1,0,0,243,0,6,2,0,3,2,Fe3O4std15
0,0,3,211,0,6,0,0,3,2,Fe3O4std15
0,0,0,208,0,6,3,0,0,2,Fe3O4std15
1,2,0,206,0,8,3,0,4,0,Fe3O4std15
0,0,0,227,0,5,0,0,2,0,Fe3O4std15
0,2,0,187,0,6,0,0,7,4,Fe3O4std15
0,0,0,214,0,7,0,0,6,0,Fe3O4std15
1,0,2,211,2,7,4,0,2,1,Fe3O4std15
0,4,0,208,0,8,0,0,2,0,Fe3O4std15
0,0,0,230,0,9,3,0,4,0,Fe3O4std15
1,0,0,192,0,8,4,0,2,0,Fe3O4std15
0,0,0,216,0,3,2,0,8,1,Fe3O4std15
0,0,0,199,0,7,0,0,6,0,Fe3O4std15
0,2,0,204,0,8,2,0,0,2,Fe3O4std15
0,2,0,233,0,0,0,0,4,0,Fe3O4std15
0,0,0,242,0,5,4,0,3,0,Fe3O4std15
0,7,2,230,0,5,0,0,3,0,Fe3O4std15
0,0,3,221,4,9,3,0,3,0,Fe3O4std15
0,0,0,197,0,6,2,0,3,0,Fe3O4std15
0,0,0,207,0,8,3,0,0,2,Fe3O4std15
0,0,0,214,0,5,2,0,0,0,Fe3O4std15
1,3,0,222,0,2,0,0,3,2,Fe3O4std15
0,0,0,220,0,5,0,0,3,0,Fe3O4std15
0,0,0,199,0,9,5,0,4,0,Fe3O4std15
0,2,0,223,0,2,0,0,2,0,Fe3O4std15
0,0,2,203,0,6,0,0,4,1,Fe3O4std15
0,0,0,254,0,2,3,0,4,2,Fe3O4std15
1,2,0,211,0,8,4,0,5,0,Fe3O4std15
0,2,2,229,0,2,4,0,6,0,Fe3O4std15
0,0,0,214,0,10,0,0,0,0,Fe3O4std15
0,0,0,206,0,0,2,0,4,1,Fe3O4std15
0,2,0,211,0,4,0,0,0,0,Fe3O4std15
0,2,5,209,0,5,2,0,3,0,Fe3O4std15
0,0,0,196,0,7,0,0,4,0,Fe3O4std15
0,2,2,233,0,5,5,0,4,1,Fe3O4std15
0,0,2,206,0,4,0,0,4,0,Fe3O4std15
0,0,2,222,0,3,2,0,4,1,Fe3O4std15
0,3,0,217,2,7,3,0,3,0,Fe3O4std15
0,2,0,222,0,6,0,0,3,0,Fe3O4std15
0,2,0,232,0,2,0,0,3,0,Fe3O4std15
0,0,0,239,2,7,0,0,2,0,Fe3O4std15
0,2,0,219,0,6,2,0,4,3,Fe3O4std15
0,2,0,218,0,2,0,0,0,3,Fe3O4std15
0,0,0,232,2,5,0,0,7,1,Fe3O4std15
0,0,0,247,0,4,3,0,4,2,Fe3O4std15
0,0,0,204,0,6,2,0,0,0,Fe3O4std15
0,0,0,209,0,6,0,0,2,0,Fe3O4std15
0,2,0,235,3,9,2,0,0,1,Fe3O4std15
0,0,0,228,0,4,0,0,3,2,Fe3O4std15
0,0,0,244,0,6,0,0,2,0,Fe3O4std15
0,2,2,228,0,10,0,0,5,0,Fe3O4std15
0,0,0,238,0,8,3,0,0,1,Fe3O4std15
0,3,0,244,0,0,0,0,0,2,Fe3O4std15
0,2,0,216,0,5,0,0,3,0,Fe3O4std15
0,3,0,201,0,4,3,0,7,0,Fe3O4std15
0,2,3,218,0,5,2,0,3,0,Fe3O4std15
0,0,0,235,2,4,0,0,3,0,Fe3O4std15
0,0,0,236,0,5,0,0,0,0,Fe3O4std15
0,5,0,188,2,5,3,0,4,1,Fe3O4std15
0,0,0,237,3,6,2,0,4,1,Fe3O4std15
0,0,0,230,0,6,2,0,4,1,Fe3O4std15
0,0,0,220,0,0,0,0,4,0,Fe3O4std15
0,2,0,221,2,6,0,0,2,0,Fe3O4std15
0,0,0,214,0,7,2,0,2,0,Fe3O4std15
0,0,0,215,2,5,0,0,4,0,Fe3O4std15
0,2,2,225,0,4,0,0,2,0,Fe3O4std15
0,0,0,232,0,4,0,0,0,0,Fe3O4std15
0,2,0,219,0,6,0,0,0,0,Fe3O4std15
0,4,0,216,0,6,3,0,3,0,Fe3O4std15
0,3,2,202,0,3,2,0,2,3,Fe3O4std15
0,2,0,226,0,2,0,0,5,0,Fe3O4std15
0,0,0,214,0,2,0,0,4,0,Fe3O4std15
0,0,0,193,0,9,2,0,4,0,Fe3O4std15
0,0,0,214,0,6,0,0,2,1,Fe3O4std15
0,0,0,230,0,4,3,0,2,0,Fe3O4std15
0,3,0,223,0,5,0,0,3,0,Fe3O4std15
0,2,2,246,0,12,0,0,4,0,Fe3O4std15
0,0,0,204,0,7,2,0,2,0,Fe3O4std15
0,0,0,217,0,4,2,0,4,0,Fe3O4std15
0,3,0,227,0,2,2,0,2,0,Fe3O4std15
0,0,0,212,0,8,0,0,2,3,Fe3O4std15
0,0,0,218,0,5,2,0,4,1,Fe3O4std15
0,2,3,204,0,5,0,0,3,3,Fe3O4std15
0,2,0,231,0,6,0,0,0,0,Fe3O4std15
